price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 20 Juta /m²,Rp 110 Ribuan (Tenor 20 Tahun),Tanah Strategis Luas 260 M2 Di Ancol Barat,Jakarta Utara,,,,260 m²,
Rp 12 Juta /m²,Rp 70 Ribuan (Tenor 20 Tahun),"Turun Harga! Tanah Kavling 6145 M2 Di Perum Citra Raya, Cikupa",Tangerang,,,,6145 m²,
Rp 8 Juta /m²,Rp 50 Ribuan (Tenor 20 Tahun),Rumah Kavling Kontrakan Sudah Siap Pakai Di Daerah Cipayung,Jakarta Timur,,,,3161 m²,
"Rp 10,5 Juta /m²",Rp 60 Ribuan (Tenor 20 Tahun),Turun Harga Bawah Njop Tanah Di Kompleks Bea Cukai Sukapura 156m2,Jakarta Utara,,,,156 m²,
"Rp 6,5 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),Murah!Tanah Strategis Dekat Bssn Dan Gbi Sawangan,Depok,,,,6000 m²,
"Rp 9,5 Miliar Total",Rp 48 Jutaan (Tenor 20 Tahun),Rumah Tua Hitung Tanah Strategis Di Jatinegara Jakarta,Jakarta Timur,,,,475 m²,
Rp 24 Miliar Total,Rp 123 Jutaan (Tenor 20 Tahun),Dijual Tanah Ex Workshop Furniture Di Condet,Jakarta Timur,,,,2130 m²,
Rp 45 Juta /m²,Rp 240 Ribuan (Tenor 20 Tahun),Rumah Tua Hitung Tanah Sangat Strategis Bisnis di Batu Tulis,Jakarta Pusat,,,,943 m²,
Rp 6 Miliar Total,Rp 30 Jutaan (Tenor 20 Tahun),Tanah Di Gading Harmoni 12x20m2 Lokasi Strategis,Jakarta Utara,,,,240 m²,
"Rp 1,9 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),"murahhh, jarang ada , ketintang baru",Surabaya,3,2,1,112 m²,100 m²
Rp 575 Juta,Rp 2 Jutaan (Tenor 20 Tahun),"Baru gres minimalis, di main road permata sukodono",Sidoarjo,2,1,,82 m²,45 m²
"Rp 1,25 Miliar Total",Rp 6 Jutaan (Tenor 20 Tahun),"Harga Nego, Dekat Exit Toll Trihanggo, 400 Meter Ke Kampus Uty",Yogyakarta,,,,228 m²,
Rp 393 Juta Total,Rp 2 Jutaan (Tenor 20 Tahun),"Spesial di Jakal km 13, Rekomendasi Bangun Hunian Villa",Sleman,,,,123 m²,
Rp 659 Juta Total,Rp 3 Jutaan (Tenor 20 Tahun),"Dekat Stadion Maguwoharjo & UNRIYO, Tanah SHM 157 m²",Yogyakarta,,,,157 m²,
Rp 3 Miliar,Rp 15 Jutaan (Tenor 20 Tahun),Dijual Apt Kensington Tower Bellmont 3br Sf,Jakarta Utara,3,3,,,95 m²
"Rp 4,25 Miliar",Rp 21 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Jagakarsa Dekat Cilandak Dalam Cluster Besar,Jakarta Selatan,4,4,2,123 m²,280 m²
Rp 842 Juta,Rp 4 Jutaan (Tenor 20 Tahun),Rumah Dijual Cluster Bojong Sari Semi Furnished Free Biaya Biaya,Depok,3,2,1,60 m²,102 m²
"Rp 3,2 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Pancoran Dalam Cluster Akses 2 Mobil Strategis,Jakarta Selatan,4,4,2,81 m²,200 m²
Rp 650 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Kalimulya Siap Huni Dalam Perumahan Strtegis,Depok,2,,1,84 m²,60 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Jagakarsa Cluster Pinggir Jalan Utama Strategis,Jakarta Selatan,3,3,2,72 m²,97 m²
"Rp 2,2 Miliar",Rp 11 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Jagakarsa Cluster Pinggir Jalan Utama Strategis,Jakarta Selatan,3,3,2,72 m²,97 m²
Rp 677 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Bojongsari 1.5 Lantai Cluster Dekat Mall The Park,Depok,2,1,1,60 m²,60 m²
Rp 2 Miliar,Rp 10 Jutaan (Tenor 20 Tahun),Rumah Dijual Siap Huni 8 Menit Dari Mrt Lebak Bulus Free Biaya,Jakarta Selatan,3,2,2,66 m²,101 m²
"Rp 2,5 Miliar",Rp 12 Jutaan (Tenor 20 Tahun),Rumah Dijual Siap Huni Cluster Pinggir Jalan Di Jagakarsa,Jakarta Selatan,4,4,1,83 m²,240 m²
"Rp 3,85 Miliar",Rp 19 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Cinere Dalam Komplek Besar Lokasi Nyaman Dan Asri,Depok,4,4,1,250 m²,200 m²
"Rp 2,95 Miliar",Rp 15 Jutaan (Tenor 20 Tahun),Rumah Dijual Di Jagakarsa Lokasi Pinggir Jalan Sangat Strategis,Jakarta Selatan,4,4,2,128 m²,190 m²
